vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1793295675,Canada (excluding territories),"",Men+,65 years and over,"Wait time, 3 months to less than 6 months",1.2.4.3.4,15.9
v1793295682,Canada (excluding territories),"",Men+,65 years and over,"Wait time, 6 months or more",1.2.4.4.4,12.7
v1793295689,Canada (excluding territories),"",Men+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,1.2.4.5.4,61.2
v1793295696,Canada (excluding territories),"",Men+,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.2.4.6.4,21.0
v1793295703,Canada (excluding territories),"",Men+,65 years and over,Life affected by wait time,1.2.4.7.4,55.1
v1793295710,Canada (excluding territories),"",Women+,"Total, 18 years and over","Total, wait time - medical specialist",1.3.1.1.4,100.0
v1793295717,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, less than 3 months",1.3.1.2.4,62.2
v1793295724,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",1.3.1.3.4,17.4
v1793295731,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, 6 months or more",1.3.1.4.4,20.4
v1793295738,Canada (excluding territories),"",Women+,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,1.3.1.5.4,48.9
v1793295745,Canada (excluding territories),"",Women+,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,1.3.1.6.4,30.9
v1793295752,Canada (excluding territories),"",Women+,"Total, 18 years and over",Life affected by wait time,1.3.1.7.4,64.2
v1793295759,Canada (excluding territories),"",Women+,18 to 44 years,"Total, wait time - medical specialist",1.3.2.1.4,100.0
v1793295766,Canada (excluding territories),"",Women+,18 to 44 years,"Wait time, less than 3 months",1.3.2.2.4,62.0
v1793295773,Canada (excluding territories),"",Women+,18 to 44 years,"Wait time, 3 months to less than 6 months",1.3.2.3.4,17.5
v1793295780,Canada (excluding territories),"",Women+,18 to 44 years,"Wait time, 6 months or more",1.3.2.4.4,20.5
v1793295787,Canada (excluding territories),"",Women+,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,1.3.2.5.4,44.9
v1793295794,Canada (excluding territories),"",Women+,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.3.2.6.4,35.4
v1793295801,Canada (excluding territories),"",Women+,18 to 44 years,Life affected by wait time,1.3.2.7.4,65.9
v1793295808,Canada (excluding territories),"",Women+,45 to 64 years,"Total, wait time - medical specialist",1.3.3.1.4,100.0
v1793295815,Canada (excluding territories),"",Women+,45 to 64 years,"Wait time, less than 3 months",1.3.3.2.4,59.2
v1793295822,Canada (excluding territories),"",Women+,45 to 64 years,"Wait time, 3 months to less than 6 months",1.3.3.3.4,17.6
v1793295829,Canada (excluding territories),"",Women+,45 to 64 years,"Wait time, 6 months or more",1.3.3.4.4,23.3
v1793295836,Canada (excluding territories),"",Women+,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,1.3.3.5.4,45.6
v1793295843,Canada (excluding territories),"",Women+,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.3.3.6.4,33.2
v1793295850,Canada (excluding territories),"",Women+,45 to 64 years,Life affected by wait time,1.3.3.7.4,68.3
v1793295857,Canada (excluding territories),"",Women+,65 years and over,"Total, wait time - medical specialist",1.3.4.1.4,100.0
v1793295864,Canada (excluding territories),"",Women+,65 years and over,"Wait time, less than 3 months",1.3.4.2.4,66.2
v1793295871,Canada (excluding territories),"",Women+,65 years and over,"Wait time, 3 months to less than 6 months",1.3.4.3.4,16.9
v1793295878,Canada (excluding territories),"",Women+,65 years and over,"Wait time, 6 months or more",1.3.4.4.4,16.9
v1793295885,Canada (excluding territories),"",Women+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,1.3.4.5.4,58.9
v1793295892,Canada (excluding territories),"",Women+,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.3.4.6.4,21.2
v1793295899,Canada (excluding territories),"",Women+,65 years and over,Life affected by wait time,1.3.4.7.4,56.7
v1793295906,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over","Total, wait time - medical specialist",2.1.1.1.4,100.0
v1793295913,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over","Wait time, less than 3 months",2.1.1.2.4,55.9
v1793295920,Newfoundland and Labrador,2021A000210,Both genders,"Total, 18 years and over","Wait time, 3 months to less than 6 months",2.1.1.3.4,20.3
