vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792534512,Canada (excluding territories),"",Both genders,45 to 64 years,Has a regular health care provider,1.1.3.6.4,84.3
v1792534519,Canada (excluding territories),"",Both genders,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.1.3.7.4,77.8
v1792534526,Canada (excluding territories),"",Both genders,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,1.1.3.8.4,72.1
v1792534533,Canada (excluding territories),"",Both genders,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,1.1.3.9.4,8.6
v1792534540,Canada (excluding territories),"",Both genders,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.1.3.10.4,37.4
v1792534547,Canada (excluding territories),"",Both genders,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.1.3.11.4,35.1
v1792534554,Canada (excluding territories),"",Both genders,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,1.1.3.12.4,30.2
v1792534561,Canada (excluding territories),"",Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.1.3.13.4,55.5
v1792534568,Canada (excluding territories),"",Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.1.3.14.4,19.6
v1792534575,Canada (excluding territories),"",Both genders,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,1.1.3.15.4,6.4
v1792534582,Canada (excluding territories),"",Both genders,45 to 64 years,Had unmet health care needs in the past 12 months,1.1.3.16.4,20.7
v1792540427,New Brunswick,2021A000213,Both genders,18 to 44 years,Perceived mental health - Fair or poor,5.1.2.5.4,21.3
v1792534589,Canada (excluding territories),"",Both genders,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.1.3.17.4,12.6
v1792534596,Canada (excluding territories),"",Both genders,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,1.1.3.18.4,79.8
v1792534603,Canada (excluding territories),"",Both genders,65 years and over,Has at least one chronic condition,1.1.4.1.4,78.7
v1792534610,Canada (excluding territories),"",Both genders,65 years and over,Perceived health - Very good or excellent,1.1.4.2.4,39.3
v1792534617,Canada (excluding territories),"",Both genders,65 years and over,Perceived health - Fair or poor,1.1.4.3.4,22.1
v1792534624,Canada (excluding territories),"",Both genders,65 years and over,Perceived mental health - Very good or excellent,1.1.4.4.4,61.7
v1792534631,Canada (excluding territories),"",Both genders,65 years and over,Perceived mental health - Fair or poor,1.1.4.5.4,9.0
v1792534638,Canada (excluding territories),"",Both genders,65 years and over,Has a regular health care provider,1.1.4.6.4,89.2
v1792534645,Canada (excluding territories),"",Both genders,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.1.4.7.4,81.9
v1792534652,Canada (excluding territories),"",Both genders,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,1.1.4.8.4,78.7
v1792534659,Canada (excluding territories),"",Both genders,65 years and over,Quality of consultation in the past 12 months - Fair or poor,1.1.4.9.4,6.0
v1792534666,Canada (excluding territories),"",Both genders,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.1.4.10.4,28.1
v1792534673,Canada (excluding territories),"",Both genders,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,1.1.4.11.4,43.0
v1792534680,Canada (excluding territories),"",Both genders,65 years and over,Experienced difficulties getting specialist care in the past 12 months,1.1.4.12.4,24.6
v1792534687,Canada (excluding territories),"",Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.1.4.13.4,64.3
