vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792536899,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Perceived mental health - Fair or poor,2.3.2.5.4,24.4
v1792536906,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Has a regular health care provider,2.3.2.6.4,79.4
v1792536913,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,2.3.2.7.4,86.6
v1792536920,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,2.3.2.8.4,75.3
v1792536927,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,2.3.2.9.4,9.1
v1792536934,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,2.3.2.10.4,52.0
v1792536941,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,2.3.2.11.4,34.0
v1792536948,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,2.3.2.12.4,39.2
v1792536955,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,2.3.2.13.4,43.4
v1792536962,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,2.3.2.14.4,29.6
v1792536969,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,2.3.2.15.4,14.5
v1792536976,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Had unmet health care needs in the past 12 months,2.3.2.16.4,37.7
v1792536983,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",2.3.2.17.4,21.1
v1792536990,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,2.3.2.18.4,84.1
v1792536997,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Has at least one chronic condition,2.3.3.1.4,63.7
v1792537004,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Perceived health - Very good or excellent,2.3.3.2.4,52.0
v1792537011,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Perceived health - Fair or poor,2.3.3.3.4,16.7
v1792537018,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Perceived mental health - Very good or excellent,2.3.3.4.4,53.7
v1792537025,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Perceived mental health - Fair or poor,2.3.3.5.4,16.2
v1792537032,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Has a regular health care provider,2.3.3.6.4,81.6
v1792537039,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,2.3.3.7.4,89.6
v1792537046,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,2.3.3.8.4,79.5
v1792537053,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,2.3.3.9.4,5.1
v1792537060,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,2.3.3.10.4,39.9
v1792537067,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,2.3.3.11.4,34.2
v1792537074,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,2.3.3.12.4,30.1
v1792537081,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,2.3.3.13.4,61.7
v1792537088,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,2.3.3.14.4,11.9
v1792537095,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,2.3.3.15.4,4.6
v1792537102,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Had unmet health care needs in the past 12 months,2.3.3.16.4,24.8
v1792537109,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",2.3.3.17.4,12.9
v1792537116,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,2.3.3.18.4,87.9
v1792537123,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Has at least one chronic condition,2.3.4.1.4,83.9
v1792537130,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Perceived health - Very good or excellent,2.3.4.2.4,44.3
v1792537137,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Perceived health - Fair or poor,2.3.4.3.4,23.6
v1792537144,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Perceived mental health - Very good or excellent,2.3.4.4.4,63.5
v1792537151,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Perceived mental health - Fair or poor,2.3.4.5.4,9.3
v1792537158,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Has a regular health care provider,2.3.4.6.4,80.5
v1792537165,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,2.3.4.7.4,85.1
v1792537172,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,2.3.4.8.4,84.8
v1792537179,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Quality of consultation in the past 12 months - Fair or poor,2.3.4.9.4,2.9
v1792537186,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,2.3.4.10.4,31.0
v1792537193,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,2.3.4.11.4,35.4
v1792537200,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Experienced difficulties getting specialist care in the past 12 months,2.3.4.12.4,26.2
v1792537207,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,2.3.4.13.4,69.7
v1792537214,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,2.3.4.14.4,11.0
v1792537221,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Experienced discrimination in a health care setting in the past 12 months,2.3.4.15.4,2.8
v1792537228,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Had unmet health care needs in the past 12 months,2.3.4.16.4,15.2
v1792537235,Newfoundland and Labrador,2021A000210,Women+,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",2.3.4.17.4,4.1
v1792537242,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Has insurance that covers all or part of the cost of prescription medications,2.3.4.18.4,83.9
v1792537249,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Has at least one chronic condition,3.1.1.1.4,55.0
v1792537256,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Perceived health - Very good or excellent,3.1.1.2.4,50.7
v1792537263,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Perceived health - Fair or poor,3.1.1.3.4,14.6
v1792537270,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Perceived mental health - Very good or excellent,3.1.1.4.4,50.4
v1792537277,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Perceived mental health - Fair or poor,3.1.1.5.4,15.0
v1792537284,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Has a regular health care provider,3.1.1.6.4,63.9
v1792537291,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.1.1.7.4,70.3
v1792537298,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,3.1.1.8.4,72.2
v1792537305,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,3.1.1.9.4,10.4
v1792537312,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,3.1.1.10.4,39.6
v1792537319,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,3.1.1.11.4,25.3
v1792537326,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,3.1.1.12.4,29.0
v1792537333,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,3.1.1.13.4,65.6
v1792537340,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,3.1.1.14.4,12.6
v1792537347,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,3.1.1.15.4,8.1
v1792537354,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Had unmet health care needs in the past 12 months,3.1.1.16.4,27.9
v1792537361,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.1.1.17.4,11.4
v1792537368,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,3.1.1.18.4,77.7
v1792537375,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Has at least one chronic condition,3.1.2.1.4,38.4
v1792537382,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Perceived health - Very good or excellent,3.1.2.2.4,58.2
v1792537389,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Perceived health - Fair or poor,3.1.2.3.4,9.9
v1792537396,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Perceived mental health - Very good or excellent,3.1.2.4.4,44.8
v1792537403,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Perceived mental health - Fair or poor,3.1.2.5.4,20.6
v1792537410,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Has a regular health care provider,3.1.2.6.4,54.3
v1792537417,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.1.2.7.4,62.5
v1792537424,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,3.1.2.8.4,62.8
v1792537431,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,3.1.2.9.4,17.0
v1792537438,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.1.2.10.4,46.4
v1792537445,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,3.1.2.11.4,19.9
v1792537452,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,3.1.2.12.4,31.6
v1792537459,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,3.1.2.13.4,57.3
v1792537466,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,3.1.2.14.4,18.2
v1792537473,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,3.1.2.15.4,13.7
v1792537480,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Had unmet health care needs in the past 12 months,3.1.2.16.4,33.7
v1792537487,Prince Edward Island,2021A000211,Both genders,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.1.2.17.4,17.5
v1792537494,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,3.1.2.18.4,78.7
v1792537501,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Has at least one chronic condition,3.1.3.1.4,58.8
v1792537508,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Perceived health - Very good or excellent,3.1.3.2.4,46.9
v1792537515,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Perceived health - Fair or poor,3.1.3.3.4,15.0
v1792537522,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Perceived mental health - Very good or excellent,3.1.3.4.4,52.8
v1792537529,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Perceived mental health - Fair or poor,3.1.3.5.4,12.0
v1792537536,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Has a regular health care provider,3.1.3.6.4,67.9
v1792537543,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.1.3.7.4,75.5
v1792537550,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,3.1.3.8.4,76.4
v1792537557,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,3.1.3.9.4,6.3
v1792537564,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.1.3.10.4,37.1
v1792537571,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,3.1.3.11.4,27.5
v1792537578,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,3.1.3.12.4,28.8
v1792537585,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,3.1.3.13.4,63.6
v1792537592,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,3.1.3.14.4,12.5
v1792537599,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,3.1.3.15.4,5.7
v1792537606,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Had unmet health care needs in the past 12 months,3.1.3.16.4,27.3
v1792537613,Prince Edward Island,2021A000211,Both genders,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.1.3.17.4,10.3
v1792537620,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,3.1.3.18.4,82.6
v1792537627,Prince Edward Island,2021A000211,Both genders,65 years and over,Has at least one chronic condition,3.1.4.1.4,80.6
v1792537634,Prince Edward Island,2021A000211,Both genders,65 years and over,Perceived health - Very good or excellent,3.1.4.2.4,41.7
v1792537641,Prince Edward Island,2021A000211,Both genders,65 years and over,Perceived health - Fair or poor,3.1.4.3.4,22.6
v1792537648,Prince Edward Island,2021A000211,Both genders,65 years and over,Perceived mental health - Very good or excellent,3.1.4.4.4,57.8
v1792537655,Prince Edward Island,2021A000211,Both genders,65 years and over,Perceived mental health - Fair or poor,3.1.4.5.4,8.6
v1792537662,Prince Edward Island,2021A000211,Both genders,65 years and over,Has a regular health care provider,3.1.4.6.4,76.6
v1792537669,Prince Edward Island,2021A000211,Both genders,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.1.4.7.4,78.2
v1792537676,Prince Edward Island,2021A000211,Both genders,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,3.1.4.8.4,81.0
v1792537683,Prince Edward Island,2021A000211,Both genders,65 years and over,Quality of consultation in the past 12 months - Fair or poor,3.1.4.9.4,5.6
v1792537690,Prince Edward Island,2021A000211,Both genders,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.1.4.10.4,30.3
v1792537697,Prince Edward Island,2021A000211,Both genders,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,3.1.4.11.4,32.5
v1792537704,Prince Edward Island,2021A000211,Both genders,65 years and over,Experienced difficulties getting specialist care in the past 12 months,3.1.4.12.4,24.5
v1792537711,Prince Edward Island,2021A000211,Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,3.1.4.13.4,75.7
v1792537718,Prince Edward Island,2021A000211,Both genders,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,3.1.4.14.4,7.1
v1792537725,Prince Edward Island,2021A000211,Both genders,65 years and over,Experienced discrimination in a health care setting in the past 12 months,3.1.4.15.4,3.0
v1792537732,Prince Edward Island,2021A000211,Both genders,65 years and over,Had unmet health care needs in the past 12 months,3.1.4.16.4,18.0
v1792537739,Prince Edward Island,2021A000211,Both genders,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.1.4.17.4,5.0
v1792537746,Prince Edward Island,2021A000211,Both genders,65 years and over,Has insurance that covers all or part of the cost of prescription medications,3.1.4.18.4,70.0
v1792537753,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Has at least one chronic condition,3.2.1.1.4,50.1
v1792537760,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Perceived health - Very good or excellent,3.2.1.2.4,51.2
v1792537767,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Perceived health - Fair or poor,3.2.1.3.4,14.3
v1792537774,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Perceived mental health - Very good or excellent,3.2.1.4.4,53.7
v1792537781,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Perceived mental health - Fair or poor,3.2.1.5.4,12.3
v1792537788,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Has a regular health care provider,3.2.1.6.4,62.5
v1792537795,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.2.1.7.4,63.6
v1792537802,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,3.2.1.8.4,71.2
v1792537809,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,3.2.1.9.4,10.6
v1792537816,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,3.2.1.10.4,34.9
v1792537823,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,3.2.1.11.4,21.5
v1792537830,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,3.2.1.12.4,27.0
v1792537837,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,3.2.1.13.4,65.5
v1792537844,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,3.2.1.14.4,11.2
v1792537851,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,3.2.1.15.4,5.4
v1792537858,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Had unmet health care needs in the past 12 months,3.2.1.16.4,24.7
v1792537865,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.2.1.17.4,8.7
v1792537872,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,3.2.1.18.4,75.8
v1792537879,Prince Edward Island,2021A000211,Men+,18 to 44 years,Has at least one chronic condition,3.2.2.1.4,32.4
v1792537886,Prince Edward Island,2021A000211,Men+,18 to 44 years,Perceived health - Very good or excellent,3.2.2.2.4,61.1
v1792537893,Prince Edward Island,2021A000211,Men+,18 to 44 years,Perceived health - Fair or poor,3.2.2.3.4,8.5
v1792537900,Prince Edward Island,2021A000211,Men+,18 to 44 years,Perceived mental health - Very good or excellent,3.2.2.4.4,51.3
v1792537907,Prince Edward Island,2021A000211,Men+,18 to 44 years,Perceived mental health - Fair or poor,3.2.2.5.4,16.5
v1792537914,Prince Edward Island,2021A000211,Men+,18 to 44 years,Has a regular health care provider,3.2.2.6.4,54.6
v1792537921,Prince Edward Island,2021A000211,Men+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.2.2.7.4,52.4
v1792538390,Prince Edward Island,2021A000211,Women+,18 to 44 years,Perceived health - Very good or excellent,3.3.2.2.4,55.2
v1792537928,Prince Edward Island,2021A000211,Men+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,3.2.2.8.4,61.1
v1792537935,Prince Edward Island,2021A000211,Men+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,3.2.2.9.4,19.0
v1792537942,Prince Edward Island,2021A000211,Men+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.2.2.10.4,38.6
v1792537949,Prince Edward Island,2021A000211,Men+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,3.2.2.11.4,12.3
v1792537956,Prince Edward Island,2021A000211,Men+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,3.2.2.12.4,26.3
v1792537977,Prince Edward Island,2021A000211,Men+,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,3.2.2.15.4,7.9
v1792537984,Prince Edward Island,2021A000211,Men+,18 to 44 years,Had unmet health care needs in the past 12 months,3.2.2.16.4,28.8
v1792537991,Prince Edward Island,2021A000211,Men+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.2.2.17.4,13.2
v1792537998,Prince Edward Island,2021A000211,Men+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,3.2.2.18.4,76.1
v1792538005,Prince Edward Island,2021A000211,Men+,45 to 64 years,Has at least one chronic condition,3.2.3.1.4,54.3
v1792538012,Prince Edward Island,2021A000211,Men+,45 to 64 years,Perceived health - Very good or excellent,3.2.3.2.4,45.9
v1792538019,Prince Edward Island,2021A000211,Men+,45 to 64 years,Perceived health - Fair or poor,3.2.3.3.4,14.2
v1792538026,Prince Edward Island,2021A000211,Men+,45 to 64 years,Perceived mental health - Very good or excellent,3.2.3.4.4,54.2
v1792538033,Prince Edward Island,2021A000211,Men+,45 to 64 years,Perceived mental health - Fair or poor,3.2.3.5.4,8.9
v1792538040,Prince Edward Island,2021A000211,Men+,45 to 64 years,Has a regular health care provider,3.2.3.6.4,65.7
v1792538047,Prince Edward Island,2021A000211,Men+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.2.3.7.4,71.7
v1792538054,Prince Edward Island,2021A000211,Men+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,3.2.3.8.4,74.5
v1792538061,Prince Edward Island,2021A000211,Men+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,3.2.3.9.4,5.7
v1792538068,Prince Edward Island,2021A000211,Men+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.2.3.10.4,33.8
v1792538075,Prince Edward Island,2021A000211,Men+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,3.2.3.11.4,25.7
v1792538082,Prince Edward Island,2021A000211,Men+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,3.2.3.12.4,27.8
v1792538089,Prince Edward Island,2021A000211,Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,3.2.3.13.4,63.4
v1792538096,Prince Edward Island,2021A000211,Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,3.2.3.14.4,9.7
v1792538103,Prince Edward Island,2021A000211,Men+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,3.2.3.15.4,4.5
v1792538110,Prince Edward Island,2021A000211,Men+,45 to 64 years,Had unmet health care needs in the past 12 months,3.2.3.16.4,24.6
v1792538117,Prince Edward Island,2021A000211,Men+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.2.3.17.4,7.9
v1792538124,Prince Edward Island,2021A000211,Men+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,3.2.3.18.4,80.6
v1792538131,Prince Edward Island,2021A000211,Men+,65 years and over,Has at least one chronic condition,3.2.4.1.4,79.8
v1792538138,Prince Edward Island,2021A000211,Men+,65 years and over,Perceived health - Very good or excellent,3.2.4.2.4,38.4
v1792538145,Prince Edward Island,2021A000211,Men+,65 years and over,Perceived health - Fair or poor,3.2.4.3.4,26.0
v1792538152,Prince Edward Island,2021A000211,Men+,65 years and over,Perceived mental health - Very good or excellent,3.2.4.4.4,57.6
v1792538159,Prince Edward Island,2021A000211,Men+,65 years and over,Perceived mental health - Fair or poor,3.2.4.5.4,8.3
v1792538166,Prince Edward Island,2021A000211,Men+,65 years and over,Has a regular health care provider,3.2.4.6.4,74.4
v1792538173,Prince Edward Island,2021A000211,Men+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.2.4.7.4,75.3
v1792538180,Prince Edward Island,2021A000211,Men+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,3.2.4.8.4,81.2
v1792538187,Prince Edward Island,2021A000211,Men+,65 years and over,Quality of consultation in the past 12 months - Fair or poor,3.2.4.9.4,5.1
v1792538194,Prince Edward Island,2021A000211,Men+,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,3.2.4.10.4,29.2
v1792538201,Prince Edward Island,2021A000211,Men+,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,3.2.4.11.4,34.7
v1792538208,Prince Edward Island,2021A000211,Men+,65 years and over,Experienced difficulties getting specialist care in the past 12 months,3.2.4.12.4,27.4
v1792538215,Prince Edward Island,2021A000211,Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,3.2.4.13.4,78.9
v1792538222,Prince Edward Island,2021A000211,Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,3.2.4.14.4,6.9
v1792538229,Prince Edward Island,2021A000211,Men+,65 years and over,Experienced discrimination in a health care setting in the past 12 months,3.2.4.15.4,3.0
v1792538236,Prince Edward Island,2021A000211,Men+,65 years and over,Had unmet health care needs in the past 12 months,3.2.4.16.4,16.8
v1792538243,Prince Edward Island,2021A000211,Men+,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",3.2.4.17.4,4.7
v1792538250,Prince Edward Island,2021A000211,Men+,65 years and over,Has insurance that covers all or part of the cost of prescription medications,3.2.4.18.4,68.7
v1792538257,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Has at least one chronic condition,3.3.1.1.4,59.7
v1792538264,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Perceived health - Very good or excellent,3.3.1.2.4,50.2
v1792538271,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Perceived health - Fair or poor,3.3.1.3.4,14.9
v1792538278,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Perceived mental health - Very good or excellent,3.3.1.4.4,47.4
v1792538285,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Perceived mental health - Fair or poor,3.3.1.5.4,17.6
v1792538292,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Has a regular health care provider,3.3.1.6.4,65.2
v1792538299,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,3.3.1.7.4,76.8
v1792538306,Prince Edward Island,2021A000211,Women+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,3.3.1.8.4,73.0
