"REF_DATE","GEO","DGUID","Gender","Age group","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Very satisfied or satisfied","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295347","1.1.1.5.5","47.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Very satisfied or satisfied","High 95% confidence interval, percentage","Percent","239","units","0","v1793295348","1.1.1.5.6","51.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Very satisfied or satisfied","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295349","1.1.1.5.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","Number of persons","Number","223","units","0","v1793295350","1.1.1.6.1","3342800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295351","1.1.1.6.2","3138300","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","High 95% confidence interval, number of persons","Number","223","units","0","v1793295352","1.1.1.6.3","3538400","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","Percentage","Percent","239","units","0","v1793295353","1.1.1.6.4","31.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295354","1.1.1.6.5","29.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","High 95% confidence interval, percentage","Percent","239","units","0","v1793295355","1.1.1.6.6","32.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Satisfaction with wait time - Dissatisfied or very dissatisfied","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295356","1.1.1.6.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","Number of persons","Number","223","units","0","v1793295357","1.1.1.7.1","6857900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295358","1.1.1.7.2","6608700","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","High 95% confidence interval, number of persons","Number","223","units","0","v1793295359","1.1.1.7.3","7115300","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","Percentage","Percent","239","units","0","v1793295360","1.1.1.7.4","63.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295361","1.1.1.7.5","61.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","High 95% confidence interval, percentage","Percent","239","units","0","v1793295362","1.1.1.7.6","65.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Life affected by wait time","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295363","1.1.1.7.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","Number of persons","Number","223","units","0","v1793295364","1.1.2.1.1","4218800","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295365","1.1.2.1.2","3991000","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","High 95% confidence interval, number of persons","Number","223","units","0","v1793295366","1.1.2.1.3","4435600","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","Percentage","Percent","239","units","0","v1793295367","1.1.2.1.4","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295368","1.1.2.1.5","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","High 95% confidence interval, percentage","Percent","239","units","0","v1793295369","1.1.2.1.6","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Total, wait time - medical specialist","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295370","1.1.2.1.7","","..","","","0"
