"REF_DATE","GEO","DGUID","Gender","Age group","Indicators ","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534251","1.1.1.5.2","4705200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1792534252","1.1.1.5.3","5183100","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","Percentage","Percent","239","units","0","v1792534253","1.1.1.5.4","15.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534254","1.1.1.5.5","14.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1792534255","1.1.1.5.6","16.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived mental health - Fair or poor","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534256","1.1.1.5.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","Number of persons","Number","223","units","0","v1792534257","1.1.1.6.1","26271100","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534258","1.1.1.6.2","26028800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","High 95% confidence interval, number of persons","Number","223","units","0","v1792534259","1.1.1.6.3","26511100","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","Percentage","Percent","239","units","0","v1792534260","1.1.1.6.4","81.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534261","1.1.1.6.5","80.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","High 95% confidence interval, percentage","Percent","239","units","0","v1792534262","1.1.1.6.6","81.8","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has a regular health care provider","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534263","1.1.1.6.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","Number of persons","Number","223","units","0","v1792534264","1.1.1.7.1","24164200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a health care provider for a non-urgent primary health care need in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534265","1.1.1.7.2","23884100","","","","0"
